name,patches,version,runs,status
Chiori,-,-,0,DONE
Itto,11,3.3,3,DONE
Neuvillette,4,4.1,1,ACTIVE
Kazuha,7,3.7,3,ACTIVE
Albedo,13,3.1,3,DONE(C)
Shenhe,9,3.5,2,-
Nilou,8,3.6,2,-
Ganyu,8,3.6,4,-
Al Haitham,7,3.7,2,-
Eula,6,3.8,3,DONE(C)
Klee,6,3.8,4,DONE(C)
Kokomi,6,3.8,4,-
Wanderer,6,3.8,2,-
Lyney,5,4.0,1,-
Yelan,5,4.0,3,-
Zhongli,5,4.0,5,-
Childe,5,4.0,5,-
Hu Tao,4,4.1,4,-
Wriothesley,4,4.1,1,-
Venti,4,4.1,5,-
Furina,3,4.2,1,-
Baizhu,3,4.2,2,-
Cyno,3,4.2,3,-
Ayato,3,4.2,3,-
Navia,2,4.3,1,-
Ayaka,2,4.3,4,-
Raiden Shogun,2,4.3,4,-
Yoimiya,2,4.3,5,-
Xianyun,1,4.4,1,-
Nahida,1,4.4,3,-
Xiao,1,4.4,5,-
Yae Miko,1,4.4,4,-
Mona,-,-,STANDARD,DONE(C)
Jean,-,-,STANDARD,DONE(C)
Diluc,-,-,STANDARD,DONE(C)
